                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2439,                 1.1026,                 1.1432,                0.92526,                0.82409,                 0.9057,                0.67712,                 1.0652,                0.94995,                 1.0458,              0.0005347,              0.0005347,              0.0005347
                     50,                  1.312,                 1.1423,                  1.147,                0.91899,                0.82201,                0.90261,                0.65264,                 1.1624,                0.96222,                 1.0917,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2855,                 1.1222,                 1.1744,                0.89194,                0.83778,                0.89842,                0.66948,                 1.0976,                  0.944,                 1.0671,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2616,                 1.1374,                 1.1295,                0.87733,                0.81843,                0.89111,                0.66522,                 1.0767,                0.94582,                 1.0677,               0.000505,               0.000505,               0.000505
                     53,                 1.2236,                 1.0794,                 1.1285,                0.86949,                0.83181,                0.88764,                0.66276,                 1.0594,                0.94441,                  1.055,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2455,                 1.0591,                 1.1117,                0.83444,                0.86004,                0.89975,                0.67027,                 1.0866,                0.91421,                 1.0688,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2382,                 1.1214,                 1.1303,                0.85166,                 0.8386,                0.90171,                0.68214,                 1.0455,                0.90183,                 1.0547,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.1927,                 1.0663,                 1.1307,                0.91318,                0.78401,                0.89873,                0.67831,                 1.0006,                0.88714,                 1.0316,              0.0004654,              0.0004654,              0.0004654
                     57,                  1.214,                 1.0946,                 1.1657,                0.92375,                0.81449,                0.90731,                0.68195,                 1.0035,                0.86209,                  1.027,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.1743,                 1.0059,                 1.0947,                0.88424,                 0.8396,                0.89766,                0.65958,                 1.0605,                0.91604,                 1.0442,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.1928,                 1.0396,                 1.1102,                 0.8823,                0.83151,                0.89674,                0.65387,                 1.0709,                 0.9284,                 1.0508,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.1726,                 1.0342,                 1.0998,                0.89773,                0.81043,                0.89564,                0.65932,                  1.033,                0.94507,                 1.0358,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.1857,                0.99541,                 1.1189,                0.88737,                0.82998,                 0.8982,                 0.6586,                 1.0258,                0.92638,                 1.0321,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.1574,                 1.0229,                 1.1025,                 0.9083,                 0.8334,                0.91058,                0.66461,                 1.0274,                0.89409,                 1.0329,               0.000406,               0.000406,               0.000406
                     63,                  1.139,                 1.0069,                 1.0789,                0.89937,                0.85219,                0.91633,                0.67318,                 1.0639,                 0.8935,                 1.0502,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.1728,                 1.0164,                 1.1261,                0.93607,                0.83919,                0.91483,                0.69941,                0.97925,                0.89271,                 1.0059,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.1815,                 1.0119,                  1.103,                0.92138,                0.86517,                0.91664,                0.70929,                0.95581,                0.86513,                0.99656,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.1716,                0.99676,                 1.0876,                0.93289,                0.87644,                 0.9275,                0.72854,                0.94136,                 0.8118,                0.99697,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.1021,                0.93622,                 1.0933,                0.94126,                0.87639,                0.92964,                0.73461,                0.93164,                0.81734,                 0.9965,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.1446,                0.96927,                 1.1003,                0.93274,                0.85477,                0.92328,                0.70501,                0.92349,                0.86184,                0.99612,              0.0003466,              0.0003466,              0.0003466
                     69,                  1.126,                0.95075,                 1.0894,                0.91329,                0.87613,                0.92386,                 0.7089,                0.91087,                0.84065,                0.98863,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.1578,                0.96622,                 1.0898,                0.92964,                0.87638,                0.92956,                0.73086,                0.92033,                0.80908,                0.98869,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.1313,                0.94187,                 1.0805,                0.90026,                0.89316,                0.93145,                0.72865,                0.93378,                0.80279,                0.98935,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1697,                0.96297,                 1.1029,                0.92426,                0.88712,                0.93441,                0.73799,                0.92687,                0.78169,                0.98112,               0.000307,               0.000307,               0.000307
                     73,                 1.1264,                0.90451,                 1.0597,                0.93394,                0.88836,                0.93492,                0.74522,                0.89273,                0.76663,                0.97004,              0.0002971,              0.0002971,              0.0002971
                     74,                  1.095,                0.92908,                 1.0725,                0.93815,                0.85043,                0.93897,                0.74649,                0.89594,                0.75783,                0.97058,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.0638,                0.87963,                  1.063,                 0.9203,                0.88165,                0.94003,                0.75613,                0.88725,                0.74692,                0.96986,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.0512,                0.87496,                 1.0302,                0.94099,                0.89622,                0.94154,                 0.7496,                0.91722,                0.73737,                0.98481,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.0924,                0.89699,                 1.0909,                 0.9465,                0.90545,                 0.9433,                0.76127,                0.88784,                0.72364,                0.96988,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.1156,                0.91211,                 1.0541,                 0.9517,                0.89945,                0.94315,                 0.7586,                0.90615,                0.74201,                0.97254,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.0917,                0.88974,                 1.0707,                 0.9529,                0.89308,                0.94214,                 0.7586,                0.90608,                0.75378,                 0.9737,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.1069,                0.92137,                 1.0593,                0.95187,                0.88755,                0.94113,                0.76582,                0.84756,                0.75408,                0.95277,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.0374,                0.85563,                 1.0583,                0.93535,                 0.8994,                0.94016,                 0.7678,                0.84661,                0.74097,                0.95257,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.0084,                0.86611,                 1.0423,                 0.9488,                0.89756,                0.94159,                0.78416,                0.83369,                0.71766,                0.95185,               0.000208,               0.000208,               0.000208
                     83,                  1.056,                0.89637,                  1.048,                0.94997,                0.89713,                0.94347,                0.79186,                 0.8225,                0.70547,                0.94682,              0.0001981,              0.0001981,              0.0001981
